name,team,position,ranking
Palmer,CHE,MID,1
Foden,MCI,MID,2
Watkins,AVL,FWD,3
Saka,ARS,MID,4
Haaland,MCI,FWD,5
Son,TOT,MID,6
Salah,LIV,MID,7
¨ªdegaard,ARS,MID,8
Gordon,NEW,MID,9
Bowen,WHU,MID,10
White,ARS,DEF,11
Havertz,ARS,MID,12
Solanke,BOU,FWD,13
Isak,NEW,FWD,14
B.Fernandes,MUN,MID,15
Mateta,CRY,FWD,16
Rice,ARS,MID,17
Saliba,ARS,DEF,18
Rodrigo,MCI,MID,19
J.Alvarez,MCI,FWD,20
Gross,BHA,MID,21
Bruno G.,NEW,MID,22
Pickford,EVE,GK,23
Gabriel,ARS,DEF,24
Douglas Luiz,AVL,MID,25
Bailey,AVL,MID,26
Ward-Prowse,WHU,MID,27
Morris,LUT,FWD,28
Luis D?az,LIV,MID,29
N.Jackson,CHE,FWD,30
Gibbs-White,NFO,MID,31
Diaby,AVL,MID,32
Bernardo,MCI,MID,33
Trossard,ARS,MID,34
Kudus,WHU,MID,35
Eze,CRY,MID,36
Pedro Porro,TOT,DEF,37
Raya,ARS,GK,38
Cunha,WOL,FWD,39
Leno,FUL,GK,40
Onana,MUN,GK,41
Darwin,LIV,FWD,42
Johnson,TOT,MID,43
Wood,NFO,FWD,44
Garnacho,MUN,MID,45
Wissa,BRE,FWD,46
Kulusevski,TOT,MID,47
Gallagher,CHE,MID,48
Mbeumo,BRE,MID,49
Andreas,FUL,MID,50
Olise,CRY,MID,51
Hee Chan,WOL,MID,52
McNeil,EVE,MID,53
Branthwaite,EVE,DEF,54
Gvardiol,MCI,DEF,55
Walker,MCI,DEF,56
Sterling,CHE,MID,57
Sch?r,NEW,DEF,58
Alexander-Arnold,LIV,DEF,59
Andersen,CRY,DEF,60
Flekken,BRE,GK,61
McGinn,AVL,MID,62
Elanga,NFO,MID,63
Mitchell,CRY,DEF,64
Martinelli,ARS,MID,65
Maddison,TOT,MID,66
Virgil,LIV,DEF,67
Tarkowski,EVE,DEF,68
Areola,WHU,GK,69
A.Doucoure,EVE,MID,70
Sou?ek,WHU,MID,71
Martinez,AVL,GK,72
Akanji,MCI,DEF,73
Vicario,TOT,GK,74
H©ªjlund,MUN,FWD,75
Trippier,NEW,DEF,76
Dalot,MUN,DEF,77
Longstaff,NEW,MID,78
Neto,BOU,GK,79
Diogo J.,LIV,MID,80
Mac Allister,LIV,MID,81
Hudson-Odoi,NFO,MID,82
J.Ayew,CRY,MID,83
Rashford,MUN,MID,84
Hamer,SHU,MID,85
Jos? S?,WOL,GK,86
A.Becker,LIV,GK,87
Romero,TOT,DEF,88
Semenyo,BOU,FWD,89
Gakpo,LIV,FWD,90
Castagne,FUL,DEF,91
Jo?o Pedro,BHA,FWD,92
Zinchenko,ARS,DEF,93
Robinson,FUL,DEF,94
Iwobi,FUL,MID,95
Senesi,BOU,DEF,96
Calvert-Lewin,EVE,FWD,97
Doughty,LUT,DEF,98
L.Paquet?,WHU,MID,99
Kluivert,BOU,MID,100
Ak?,MCI,DEF,101
Sarabia,WOL,MID,102
Szoboszlai,LIV,MID,103
De Bruyne,MCI,MID,104
Doku,MCI,MID,105
Jensen,BRE,MID,106
McTominay,MUN,MID,107
T.Silva,CHE,DEF,108
Muniz,FUL,FWD,109
Burn,NEW,DEF,110
Adingra,BHA,MID,111
Elliott,LIV,MID,112
Mario Jr.,WOL,MID,113
Willian,FUL,MID,114
Adebayo,LUT,FWD,115
Wilson,FUL,MID,116
Janelt,BRE,MID,117
De Cordova-Reid,FUL,MID,118
Konsa,AVL,DEF,119
J.Palhinha,FUL,MID,120
Christie,BOU,MID,121
Tavernier,BOU,MID,122
R?ben,MCI,DEF,123
Garner,EVE,MID,124
Kaminski,LUT,GK,125
Neto,WOL,MID,126
Sarr,TOT,MID,127
G.Jesus,ARS,FWD,128
Amdouni,BUR,FWD,129
Digne,AVL,DEF,130
Pau,AVL,DEF,131
Coufal,WHU,DEF,132
Ogbene,LUT,FWD,133
Zabarnyi,BOU,DEF,134
Caicedo,CHE,MID,135
Collins,BRE,DEF,136
Odobert,BUR,MID,137
J.Murphy,NEW,MID,138
Bruun Larsen,BUR,MID,139
Archer,SHU,FWD,140
Kilman,WOL,DEF,141
Toti,WOL,DEF,142
Emerson,WHU,DEF,143
Van de Ven,TOT,DEF,144
Smith,BOU,DEF,145
Welbeck,BHA,FWD,146
Edouard,CRY,FWD,147
Antonio,WHU,FWD,148
Chong,LUT,MID,149
Brownhill,BUR,MID,150
Almir?n,NEW,MID,151
Pinnock,BRE,DEF,152
A?t-Nouri,WOL,DEF,153
L.Cook,BOU,MID,154
McAtee,SHU,MID,155
Mainoo,MUN,MID,156
Robertson,LIV,DEF,157
Madueke,CHE,MID,158
Maupay,BRE,FWD,159
Zouma,WHU,DEF,160
Young,EVE,DEF,161
Gomez,LIV,DEF,162
Dubravka,NEW,GK,163
Foster,BUR,FWD,164
Jo?o Gomes,WOL,MID,165
Roerslev,BRE,DEF,166
N©ªrgaard,BRE,MID,167
Reguil?n,BRE,DEF,168
Berge,BUR,MID,169
Gusto,CHE,DEF,170
Lewis-Potter,BRE,MID,171
Vini Souza,SHU,MID,172
Gana,EVE,MID,173
Ra?l,FUL,FWD,174
Petrovi?,CHE,GK,175
Disasi,CHE,DEF,176
Nketiah,ARS,FWD,177
Foderingham,SHU,GK,178
Tomiyasu,ARS,DEF,179
Cairney,FUL,MID,180
Wilson,NEW,FWD,181
O'Shea,BUR,DEF,182
Verbruggen,BHA,GK,183
Ajer,BRE,DEF,184
Kiwior,ARS,DEF,185
Awoniyi,NFO,FWD,186
McBurnie,SHU,FWD,187
Onana,EVE,MID,188
Gu?hi,CRY,DEF,189
Tosin,FUL,DEF,190
Bassey,FUL,DEF,191
Schlupp,CRY,MID,192
Danilo,NFO,MID,193
Cullen,BUR,MID,194
Colwill,CHE,DEF,195
Barnes,NEW,MID,196
Lerma,CRY,MID,197
Bogle,SHU,DEF,198
N.Semedo,WOL,DEF,199
Brereton D?az,SHU,MID,200
C.Richards,CRY,DEF,201
?lvarez,WHU,MID,202
Lindelof,MUN,DEF,203
Townsend,LUT,MID,204
Gilmour,BHA,MID,205
Vitinho,BUR,DEF,206
Billing,BOU,MID,207
Yates,NFO,MID,208
Kova?i?,MCI,MID,209
Kerkez,BOU,DEF,210
Murillo,NFO,DEF,211
Casemiro,MUN,MID,212
Boly,NFO,DEF,213
Toney,BRE,FWD,214
Pope,NEW,GK,215
Buonanotte,BHA,MID,216
Mu?oz,CRY,DEF,217
Konat?,LIV,DEF,218
O.Dango,BOU,MID,219
Diego Carlos,AVL,DEF,220
Ward,CRY,DEF,221
Stones,MCI,DEF,222
R.Lewis,MCI,DEF,223
Clyne,CRY,DEF,224
Toffolo,NFO,DEF,225
Wharton,CRY,MID,226
Grealish,MCI,MID,227
Bradley,LIV,DEF,228
D.D.Fofana,BUR,FWD,229
Beto,EVE,FWD,230
Duran,AVL,FWD,231
Quansah,LIV,DEF,232
Alex Moreno,AVL,DEF,233
Evans,MUN,DEF,234
Eriksen,MUN,MID,235
Henderson,CRY,GK,236
Gudmundsson,BUR,MID,237
Kelly,BOU,DEF,238
Tsimikas,LIV,DEF,239
Muric,BUR,GK,240
Antony,MUN,MID,241
Endo,LIV,MID,242
Sambi,LUT,MID,243
Wan-Bissaka,MUN,DEF,244
Reed,FUL,MID,245
Taylor,BUR,DEF,246
Lo Celso,TOT,MID,247
Aina,NFO,DEF,248
Joelinton,NEW,MID,249
Gravenberch,LIV,MID,250
Bellegarde,WOL,MID,251
Damsgaard,BRE,MID,252
Clark,LUT,MID,253
Jorginho,ARS,MID,254
Cucurella,CHE,DEF,255
R.Varane,MUN,DEF,256
Steele,BHA,GK,257
Anderson,NEW,MID,258
Mengi,LUT,DEF,259
Norwood,SHU,MID,260
Turner,NFO,GK,261
Rodriguez,BUR,FWD,262
Doherty,WOL,DEF,263
Osho,LUT,DEF,264
Scott,BOU,MID,265
Jones,LIV,MID,266
Enes ?nal,BOU,FWD,267
Mavropanos,WHU,DEF,268
Koleosho,BUR,MID,269
Ream,FUL,DEF,270
Chalobah,CHE,DEF,271
H©ªjbjerg,TOT,MID,272
Onyeka,BRE,MID,273
Hall,NEW,DEF,274
Osborn,SHU,MID,275
Doyle,WOL,MID,276
Igor,BHA,DEF,277
Godfrey,EVE,DEF,278
N.Aguerd,WHU,DEF,279
Ings,WHU,FWD,280
Adama,FUL,MID,281
B.Badiashile,CHE,DEF,282
Mpanzu,LUT,MID,283
Broja,FUL,FWD,284
Sels,NFO,GK,285
Kelleher,LIV,GK,286
Baleba,BHA,MID,287
Ansu Fati,BHA,MID,288
Krafth,NEW,DEF,289
Schade,BRE,MID,290
Robinson,SHU,DEF,291
Yarmoliuk,BRE,MID,292
Woodrow,LUT,FWD,293
Matheus N.,MCI,MID,294
Bentancur,TOT,MID,295
Ahmedhod?i?,SHU,DEF,296
Berry,LUT,MID,297
Lamptey,BHA,DEF,298
Coleman,EVE,DEF,299
Bobb,MCI,MID,300
Lallana,BHA,MID,301
Nkunku,CHE,FWD,302
Zanka,BRE,DEF,303
Niakhat?,NFO,DEF,304
H.Bueno,WOL,DEF,305
G.Montiel,NFO,DEF,306
Trusty,SHU,DEF,307
Aarons,BOU,DEF,308
E.Royal,TOT,DEF,309
Tete,FUL,DEF,310
Danjuma,EVE,MID,311
Webster,BHA,DEF,312
Brooks,SHU,MID,313
Amrabat,MUN,MID,314
Ghoddos,BRE,MID,315
Smith Rowe,ARS,MID,316
Assignon,BUR,DEF,317
Origi,NFO,FWD,318
Sangar?,NFO,MID,319
Martial,MUN,FWD,320
Osula,SHU,FWD,321
Boubacar Traore,WOL,MID,322
Fabianski,WHU,GK,323
Lenglet,AVL,DEF,324
Chilwell,CHE,DEF,325
Thomas,ARS,MID,326
F?bio Vieira,ARS,MID,327
Mount,MUN,MID,328
Amad,MUN,MID,329
Ortega Moreno,MCI,GK,330
Skipp,TOT,MID,331
Matip,LIV,DEF,332
C.Doucour?,CRY,MID,333
Moder,BHA,MID,334
Ramsdale,ARS,GK,335
Enciso,BHA,MID,336
M.Tr?sor,BUR,MID,337
Gilchrist,CHE,DEF,338
Andr? Gomes,EVE,MID,339
Travers,BOU,GK,340
Arblaster,SHU,MID,341
Ogbonna,WHU,DEF,342
Baptiste,BRE,MID,343
Bentley,WOL,GK,344
Keane,EVE,DEF,345
Dobbin,EVE,MID,346
Olsen,AVL,GK,347
Johnson,WHU,DEF,348
Ritchie,NEW,MID,349
Mepham,BOU,DEF,350
Nelson,ARS,MID,351
Y. Chermiti,EVE,FWD,352
Chukwuemeka,CHE,MID,353
Grbi?,SHU,GK,354
Est?ve,BUR,DEF,355
Ekdal,BUR,DEF,356
Martinez,MUN,DEF,357
Andersen,LUT,DEF,358
Dr?gu?in,TOT,DEF,359
Slimane,SHU,MID,360
Reyna,NFO,MID,361
Cornet,WHU,MID,362
S.Bueno,WOL,DEF,363
Lowe,SHU,DEF,364
Ugochukwu,CHE,MID,365
Bryan,TOT,MID,366
Riedewald,CRY,MID,367
Kouyat?,NFO,MID,368
Omobamidele,NFO,DEF,369
Onyedinma,LUT,MID,370
Tavares,NFO,DEF,371
Brewster,SHU,FWD,372
Casadei,CHE,MID,373
Cresswell,WHU,DEF,374
Larouci,SHU,DEF,375
Iroegbunam,AVL,MID,376
Sergio G?mez,MCI,DEF,377
Benson,BUR,MID,378
Earthy,WHU,MID,379
Chirewa,WOL,MID,380
Ozoh,CRY,MID,381
Felipe,NFO,DEF,382
Delcroix,BUR,DEF,383
Fraser,WOL,FWD,384
Forson,MUN,MID,385
T.Davies,SHU,MID,386
Chambers,AVL,DEF,387
M.Elneny,ARS,MID,388
Ballo-Tour?,FUL,DEF,389
Barco,BHA,DEF,390
Adams,BOU,MID,391
Kambwala,MUN,DEF,392
Hill,BOU,DEF,393
Clark,LIV,MID,394
Dummett,NEW,DEF,395
Strakosha,BRE,GK,396
Faivre,BOU,MID,397
Hashioka,LUT,DEF,398
Offiah,BHA,DEF,399
Cork,BUR,MID,400
Ribeiro,NFO,FWD,401
Scarlett,TOT,FWD,402
Baker-Boaitey,BHA,MID,403
Massengo,BUR,MID,404
Kesler-Hayden,AVL,DEF,405
Wheatley,MUN,FWD,406
C?dric,ARS,DEF,407
White,NEW,MID,408
McConnell,LIV,MID,409
Tomkins,CRY,DEF,410
Moore,TOT,MID,411
Kellyman,AVL,MID,412
A.Murphy,NEW,DEF,413
Nelson,LUT,MID,414
Deivid,CHE,FWD,415
O¡¯Mahony,BHA,FWD,416
Gonz?lez,WOL,MID,417
Holgate,SHU,DEF,418
Bajcetic,LIV,MID,419
Jebbison,SHU,FWD,420
Munroe,AVL,DEF,421
Acheampong,CHE,DEF,422
Egan,SHU,DEF,423
Curtis,SHU,DEF,424
Casey,WHU,DEF,425
Warrington,EVE,MID,426
Tauriainen,CHE,MID,427
Sadi,BOU,MID,428
Thiago,LIV,MID,429
Danns,LIV,FWD,430
Krul,LUT,GK,431
Curd,CHE,GK,432
McKenna,BOU,GK,433
Sharman-Lowe,CHE,GK,434
Vigouroux,BUR,GK,435
J.Virginia,EVE,GK,436
Altay,MUN,GK,437
J.Timber,ARS,DEF,438
Atom,BHA,DEF,439
Sturge,CHE,DEF,440
Jackson,MUN,DEF,441
Amass,MUN,DEF,442
Chigozie,LUT,DEF,443
Arthur,BRE,DEF,444
Hall,TOT,MID,445
Ojinnaka,WOL,MID,446
Hampson,SHU,MID,447
Dacosta Gonzalez,BOU,MID,448
Dyer,CHE,MID,449
Mathurin,CRY,MID,450
Chouchane,BHA,MID,451
Martins,LUT,MID,452
Harris,LUT,FWD,453
George,CHE,FWD,454
Holman,WOL,FWD,455
Johnson,LUT,DEF,456
Rod?k,FUL,GK,457
